,0mlBoXZHSLmWELx913rR9g,3tv6xAvjSiOBvn6Pi8LkGw,djaAx8sEQReRzImtd2sA3w,dvFjgBzQSu2S8De95BYqmg,ECvuummcQA-4GskntiAHtQ,JHRdQdJWQrmH65m7odosVw,mRY84FM1R7WFu8jDymW3eA,nPKbqr0XR0Kn8Jz8nj35Kw,ONG8kdYrQGqUP17PgZZFmA,SS_M7DvJTvKxIcNAt6rB5Q,UXtdCOPLTDaONmM-mk4e1A,VrVBdpn5QWOhPYOMZYjqBQ,W1_cjyfLSEqpecix7LdImQ,Wma7L57WQgGc-9ivrhoG4A,X89zKFz4QC-M5jwo1iLI4g,sum
MyTabSetting-MyNameChange,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
MyTabSetting-MyTab,0.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,13.0
MyTabSetting-RCTModalHostViewController,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
MyTabSetting-Splash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
MyTabSetting-null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
OnboardingFirst-OnboardingLanguageSetting,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0
OnboardingKoreanOptions-HomeTab,1.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0
OnboardingKoreanOptions-PathTabPlayer,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
OnboardingLanguageSetting-OnboardingKoreanOptions,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0
PathTab-CollectionQuiz,1.0,8.0,37.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,83.0
PathTab-Coupon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PathTab-Error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
PathTab-HomeTab,0.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,12.0
PathTab-MyTab,0.0,0.0,9.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,21.0
PathTab-PathTab,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PathTab-PathTabPlayer,1.0,7.0,59.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,92.0
PathTab-PlusOnlyTab,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0
PathTab-PushHistory,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
PathTab-RCTModalHostViewController,0.0,3.0,17.0,0.0,0.0,5.0,3.0,0.0,4.0,3.0,1.0,1.0,4.0,0.0,0.0,41.0
PathTab-ReviewTab,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
PathTab-SnackPlayer,1.0,3.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,19.0
PathTab-SpeakLecturePlayer,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
PathTab-Splash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
PathTab-StreakResult,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0
PathTab-null,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PathTabPlayer-PathTab,1.0,5.0,63.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,87.0
PathTabPlayer-RCTModalHostViewController,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0
Player-CollectionQuiz,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Player-CurriculumDetail,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0
Player-HomeTab,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Player-Player,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,12.0
Player-PushHistory,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Player-RCTModalHostViewController,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0
Player-ReviewTab,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Player-StreakResult,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Player-null,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
PlusOnlyTab-CurriculumDetail,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,16.0
PlusOnlyTab-HomeTab,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
PlusOnlyTab-MyTab,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,6.0
PlusOnlyTab-PathTab,0.0,7.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,19.0
PlusOnlyTab-ReviewTab,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0
PlusOnlyTab-SpeakCollection,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
PlusOnlyTab-SpeakCourse,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0
PlusOnlyTab-Splash,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
