,,std_ymd,event_date,auth_id,user_pseudo_id,event_name,is_anonymous,learn_lang,learn_lang_cnt,lang_code,app_version,platform,platform_version,device_category,continent,country,event_timestamp,event_timestamp_w_timezone,,week_cd,screen_class,previous_screen_class,errors: 0,use_time_msec,,purchase_type,product,create_date
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022436824010 ,1695054836824010 ,10,96,CollectionQuiz,HomeTab,2023-09-18 16:33:56.824,33869,33.869,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022470693000 ,1695054870693000 ,0,96,HomeTab,CollectionQuiz,2023-09-18 16:34:30.693,7856,7.856,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022478549000 ,1695054878549000 ,0,96,PathTab,HomeTab,2023-09-18 16:34:38.549,3537,3.537,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,path_tab_visit,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022478806000 ,1695054878806000 ,0,96,PathTab,null,2023-09-18 16:34:38.806,null,null,CAKE_COUPON,PLUS,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022482085000 ,1695054882085000 ,0,96,SnackPlayer,PathTab,2023-09-18 16:34:42.085,17488,17.488,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,path_tab_step_click,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022482105000 ,1695054882105000 ,0,96,SnackPlayer,null,2023-09-18 16:34:42.105,null,null,CAKE_COUPON,PLUS,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022499574000 ,1695054899574000 ,0,96,PathTab,SnackPlayer,2023-09-18 16:34:59.574,13831,13.831,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,path_tab_visit,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022499579010 ,1695054899579010 ,10,96,PathTab,null,2023-09-18 16:34:59.579,null,null,CAKE_COUPON,PLUS,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,path_tab_step_click,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022513381010 ,1695054913381010 ,10,96,PathTab,null,2023-09-18 16:35:13.381,null,null,CAKE_COUPON,PLUS,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022513406010 ,1695054913406010 ,10,96,CollectionQuiz,PathTab,2023-09-18 16:35:13.406,29534,29.534,null,null,2023-10-01
