,0mlBoXZHSLmWELx913rR9g,3tv6xAvjSiOBvn6Pi8LkGw,djaAx8sEQReRzImtd2sA3w,dvFjgBzQSu2S8De95BYqmg,ECvuummcQA-4GskntiAHtQ,JHRdQdJWQrmH65m7odosVw,mRY84FM1R7WFu8jDymW3eA,nPKbqr0XR0Kn8Jz8nj35Kw,ONG8kdYrQGqUP17PgZZFmA,SS_M7DvJTvKxIcNAt6rB5Q,UXtdCOPLTDaONmM-mk4e1A,VrVBdpn5QWOhPYOMZYjqBQ,W1_cjyfLSEqpecix7LdImQ,Wma7L57WQgGc-9ivrhoG4A,X89zKFz4QC-M5jwo1iLI4g
HomeTab-Player-RCTModalHostViewController,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0
HomeTab-PlusOnlyTab-CurriculumDetail,0,0,0,2.0,0,0,1.0,0,0,0,0,0,0,0,0
HomeTab-PlusOnlyTab-HomeTab,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
HomeTab-PlusOnlyTab-MyTab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
HomeTab-PlusOnlyTab-PathTab,0,1.0,0,1.0,0,0,0,0,0,0,1.0,0,1.0,0,0
HomeTab-PlusOnlyTab-ReviewTab,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0
HomeTab-PushHistory-HomeTab,0,0,0,2.0,0,0,0,0,0,0,0,0,0,1.0,0
HomeTab-PushHistory-Player,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
HomeTab-PushHistory-Splash,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
HomeTab-RCTModalHostViewController-SFAuthenticationViewController,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0
HomeTab-RCTModalHostViewController-UIViewController,0,8.0,0,0,3.0,1.0,0,1.0,0,1.0,2.0,2.0,2.0,0,0
HomeTab-ReviewTab-MyTab,0,2.0,0,1.0,0,0,0,1.0,0,0,0,0,1.0,0,1.0
HomeTab-ReviewTab-PlusOnlyTab,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0
HomeTab-ReviewTab-RCTModalHostViewController,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
HomeTab-SnackPlayer-UIActivityViewController,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
HomeTab-SnackUploaderList-HomeTab,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0
HomeTab-SpeakLecturePlayer-HomeTab,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
HomeTab-SpeakLecturePlayer-SpeakLectureSpeaking,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
HomeTab-Splash-HomeTab,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0
HomeTab-Splash-UIViewController,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0
HomeTab-StreakResult-HomeTab,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
MainActivity-MyTabSetting-MyTab,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
MainActivity-ReviewTab-PlusOnlyTab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
MainActivity-Splash-HomeTab,2.0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,3.0
MainActivity-Splash-OnboardingFirst,1.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,1.0
MainActivity-Splash-Player,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MyAccountChange-MyTabSetting-MyTab,0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
MyAccountChange-MyTabSetting-RCTModalHostViewController,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0
MyAccountChange-Splash-HomeTab,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0
MyMembershipManagement-MyTabSetting-MyTab,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
MyNameChange-MyTabSetting-MyAccountChange,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0
MyNameChange-MyTabSetting-Splash,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
MyTab-BadgeList-MyTab,0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,1.0
MyTab-HomeTab-MyTab,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0
MyTab-HomeTab-PathTab,0,0,2.0,0,0,3.0,0,0,0,0,0,0,0,0,0
MyTab-HomeTab-Player,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
MyTab-HomeTab-PushHistory,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
MyTab-HomeTab-ReviewTab,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
MyTab-HomeTab-SnackPlayer,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
MyTab-MyTab-HomeTab,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
MyTab-MyTabSetting-GDPRScreen,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
MyTab-MyTabSetting-MyAccountChange,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
MyTab-MyTabSetting-MyMembershipManagement,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
