std_ymd,event_date,auth_id,event_name,is_anonymous,learn_lang,learn_lang_cnt,lang_code,app_version,platform,platform_version,device_category,continent,country,event_timestamp,event_timestamp_w_timezone,week_cd,screen_class,previous_screen_class,use_time_msec,purchase_type,product,create_date
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,SnackPlayer,null,27486,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PathTab,null,6547,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PushHistory,Player,null,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PlusOnlyTab,null,1048,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Player,PushHistory,null,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PushHistory,UIViewController,null,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,CollectionQuiz,null,42711,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PathTab,PlusOnlyTab,null,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,HomeTab,Splash,null,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,path_tab_step_click,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PathTab,null,null,CAKE_COUPON,PLUS,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Player,PushHistory,null,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PathTabPlayer,null,25647,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PathTabPlayer,PathTab,null,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,path_tab_visit,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PathTab,null,null,CAKE_COUPON,PLUS,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Player,null,139782,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,RCTModalHostViewController,null,1555,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,CollectionQuiz,PathTab,null,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,membership_user,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Splash,null,null,CAKE_COUPON,PLUS,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,MyTab,BadgeList,null,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,CollectionQuiz,null,34118,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PathTab,CollectionQuiz,null,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PathTab,null,30476,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,StreakSetting,null,3257,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Player,CollectionQuiz,null,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PushHistory,null,1135,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,CollectionQuiz,null,52385,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,MyTab,UIViewController,null,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Player,null,159883,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,StreakResult,StreakSetting,null,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,RCTModalHostViewController,null,2161,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,CollectionQuiz,null,25315,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,splash_visit,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Splash,null,null,CAKE_COUPON,PLUS,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,StreakResult,null,4040,null,null,2023-10-08
