auth_id,event_name,previous_screen_class,screen_class,event_timestamp_w_timezone,use_time_msec
3tv6xAvjSiOBvn6Pi8LkGw,membership_user,.,Splash,1695168497888000,.
3tv6xAvjSiOBvn6Pi8LkGw,splash_visit,.,Splash,1695168497888000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,Splash,HomeTab,1695168497927000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,HomeTab,RCTModalHostViewController,1695168498463000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,RCTModalHostViewController,1695168500057000,2577.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,1695168500057000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,MyTab,1695168500616010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyTab,1695168501700010,1643.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,MyTabSetting,1695168501700010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyTabSetting,1695168520418010,18717.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyTabSetting,1695168541689000,20197.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTabSetting,MyTab,1695168545975000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyTabSetting,1695168545975000,3311.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,ReviewTab,1695168546410000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,ReviewTab,PlusOnlyTab,1695168558308000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,ReviewTab,1695168558308000,12332.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,PlusOnlyTab,1695168560790000,2481.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PlusOnlyTab,PathTab,1695168560790000,.
3tv6xAvjSiOBvn6Pi8LkGw,path_tab_visit,.,PathTab,1695168560933010,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PathTab,HomeTab,1695168561774010,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,HomeTab,PathTab,1695168562472010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,HomeTab,1695168562473010,1682.0
3tv6xAvjSiOBvn6Pi8LkGw,path_tab_visit,.,PathTab,1695168562476010,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PathTab,HomeTab,1695168562853010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,HomeTab,1695168580094010,17621.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,.,UIViewController,1695213309795000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,UIViewController,1695213309827000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,Splash,1695213310478000,.
3tv6xAvjSiOBvn6Pi8LkGw,splash_visit,.,Splash,1695213310479000,.
3tv6xAvjSiOBvn6Pi8LkGw,membership_user,.,Splash,1695213310479000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,Splash,HomeTab,1695213310528000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,HomeTab,RCTModalHostViewController,1695213311129000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,HomeTab,1695213311129000,1244.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,RCTModalHostViewController,1695213313132000,2003.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,1695213313133010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,UIViewController,1695213313791010,659.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,UIViewController,1695213314405000,9.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,CollectionQuiz,1695213314744000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,CollectionQuiz,1695213315496000,183.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,CollectionQuiz,1695213316138000,9.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,CollectionQuiz,HomeTab,1695213388916000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,CollectionQuiz,1695213388917000,65581.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,HomeTab,ReviewTab,1695213390956000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,HomeTab,1695213390957000,2039.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,ReviewTab,1695213393228000,2270.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,ReviewTab,RCTModalHostViewController,1695213393229000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,RCTModalHostViewController,1695213396191010,2963.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,1695213396193010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,UIViewController,1695213397860010,1668.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,MyTab,1695213397860010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyTab,1695213406197010,8337.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,ReviewTab,1695213406197010,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,ReviewTab,PlusOnlyTab,1695213406761010,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PlusOnlyTab,SpeakCourse,1695213417444020,.
